"GEO";"GEO_OBJECT";"TRANS";"AGE";"EMPSTA_ENQ";"WORK_AREA";"RP_MEASURE";"FREQ";"OBS_STATUS";TIME_PERIOD;OBS_VALUE
"243301389";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;201,600564
"241800374";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;364,143
"245400676";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;12811,043455
"200039832";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;178,206507
"200069177";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;408,501191
"200085751";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;837,506641
"244900015";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;9439,240842
"247000698";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;98,652965
"200068666";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1473,692047
"200055887";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;868,122638
"200072650";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;502,210578
"200039709";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;147,392627
"200067197";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;154,595622
"200018653";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1894,139409
"200065886";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1903,457669
"246600548";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;309,911112
"200070548";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;317,79798
"200000925";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;231,141425
"200042935";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1867,538145
"200070910";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;117,546664
"200071538";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;221,860908
"200071223";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;438,00015
"200040814";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;144,612869
"200067296";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;294,306595
"200056380";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;3875,006652
"200067981";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1427,721193
"200068922";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;245,572046
"200034601";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;154,951186
"241500230";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2665,069693
"245501259";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;130,587506
"243100633";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1203,995168
"240100750";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2351,665303
"200000933";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;413,428899
"200065589";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;203,906651
"241700624";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;392,29772
"242900561";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;264,314251
"247400773";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;459,832187
"242401024";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;341,557515
"243901089";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;83,155042
"240200519";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;87,3445
"200043321";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;744,372114
"200067452";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;438,21624
"200071389";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;570,465444
"200067346";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;774,231148
"246401756";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;287,043679
"246000897";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;258,38166
"200071165";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;820,316554
"240200493";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;583,58323
"200068781";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;5374,136012
"200033090";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;236,411157
"247800550";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;368,474794
"200040574";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;593,353017
"200067924";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;834,438821
"200069854";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;5438,813825
"245900428";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;4313,267301
"242000495";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;172,92464
"241000405";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;462,18754
"241000223";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;89,445234
"200070373";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;444,747021
"200068674";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2024,870074
"200068088";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;379,625024
"200066025";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;414,617573
"200065894";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1307,991835
"200041630";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;3812,053366
"247000623";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;229,382711
"244900882";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;513,477251
"200070340";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;728,717642
"200070555";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;319,435414
"200069995";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;504,716671
"200067205";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;4744,504259
"200070043";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;777,820318
"200070365";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;391,014434
"200066744";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;990,258907
"246800205";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;209,502375
"243900479";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;275,514191
"246800494";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;348,085941
"246701080";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;673,873759
"200069565";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;411,768056
"200070738";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;271,829045
"200070126";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;156,428842
"200067973";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1003,055015
"243200409";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;170,460376
"243400520";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;832,988739
"200039022";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1709,645677
"200067304";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;433,574588
"200043156";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;733,941574
"200072668";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;365,539636
"200041614";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;471,4913
"200068997";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1794,28723
"200069052";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2962,680869
"200057859";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;3321,58246
"247700065";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;292,425327
"243301447";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;250,577787
"248300493";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;2868,13286
"242900793";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;454,027892
"249730052";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;1327,061143
"200069144";"EPCI";"2";"Y_GE15";"1";"_T";"POP";"A";"";2022;192,453398
